collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-25T22:10:00+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-26 01:00 (Local Time),ACHNA,,,,,1,8,21.7,,22.6,21.6,3.5,1.0,,,304.0,,,,57.0,0.0,,,1.800554,,
2026-09-25T22:10:00+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-26 01:00 (Local Time),AGROS,,,,,1,10,13.7,,16.4,13.6,2.4,1.0,3.0,0.0,344.0,,,,64.0,0.0,,,1.234666,,
2026-09-25T22:10:00+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-26 01:00 (Local Time),AKAMAS,,,,,1,7,20.1,,20.5,19.2,3.0,,,,290.0,,,,75.0,0.0,,,1.543332,,
2026-09-25T22:10:00+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-26 01:00 (Local Time),ALONOUDI,,,,,1,5,13.9,,18.0,13.8,,,,,,,,,76.0,0.0,,,,,
2026-09-25T22:10:00+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-26 01:00 (Local Time),AMARGETI,,,,,1,9,17.6,,19.5,17.4,3.1,1.1,,,320.0,,,,63.0,0.0,964.0,,1.594776,,
2026-09-25T22:10:00+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-26 01:00 (Local Time),ASTROMERITIS,,,,,1,6,18.6,,,,8.0,2.2,,,176.0,,,,63.0,0.0,,,4.115552,,
2026-09-25T22:10:00+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-26 01:00 (Local Time),ATHALASSA,,,,,1,11,19.7,16.7,22.9,19.4,3.2,0.8,,,242.0,,,,63.0,0.0,996.3,,1.646221,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1015.3}}"
2026-09-25T22:10:00+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-26 01:00 (Local Time),ATHIENOU,,,,,1,9,20.0,17.9,21.8,19.6,6.7,1.4,,,241.0,,,,66.0,0.0,,,3.446775,,
2026-09-25T22:10:00+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-26 01:00 (Local Time),AVDIMOU,,,,,1,11,14.8,12.5,19.0,14.7,1.5,0.2,3.0,1.0,299.0,,,,74.0,0.0,,,0.771666,,
2026-09-25T22:10:00+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-26 01:00 (Local Time),CAVO_GRECO,,,,,1,9,22.7,,23.7,20.7,3.7,1.2,,,28.0,,,,63.0,0.0,1007.2,,1.903443,,
2026-09-25T22:10:00+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-25T22:12:53.215850+00:00,2026-09-26 01:00 (Local Time),CHROMIO,,,,,1,9,12.5,,12.8,10.4,11.4,3.1,,,186.0,,,,10.0,0.0,,,5.864662,,"{""Snow Depth"": {""unit"": ""cm"", ""value"": 0.0}}"
