station_code,station_name,latitude,longitude,elevation_m,first_seen_utc,last_seen_utc,latest_source_time,latest_observation_count,latest_data_available
ACHNA,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),8,1
AGROS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),10,1
AKAMAS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),7,1
ALONOUDI,,,,,2026-07-27T14:00:00+00:00,2026-09-05T12:40:00+00:00,,0,0
AMARGETI,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),9,1
ASTROMERITIS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),6,1
ATHALASSA,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),11,1
ATHIENOU,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),9,1
AVDIMOU,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),11,1
CAVO_GRECO,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),9,1
CHROMIO,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),9,1
CYTASAT,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),10,1
EPTAGONEIA,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),8,1
FANEROMENI,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),4,1
FARMAKAS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),10,1
FRENAROS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),11,1
KALAVASOS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),5,1
KALOPANAYIOTIS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),9,1
KAMPOS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),11,1
KANNAVIOU,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),6,1
KATHIKAS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),6,1
KEPNIC,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),1,1
KILANI,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),7,1
KORNOS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),3,1
KOURIS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),8,1
KPYRGOS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),8,1
KYPEROUNTA,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),6,1
LCLK,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),9,1
LCPH,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),9,1
LEFKARA,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),6,1
LEFKOSIA,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),7,1
LIMASSOL,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),10,1
LINOU,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),9,1
LYSOS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),7,1
MALLIA,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),10,1
MAMMARI,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),10,1
MATHIATIS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),10,1
PANAGIA_BRIDGE,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),6,1
PAPHOS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),8,1
PAREKLISIA,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),7,1
PENTAKOMO,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),8,1
PLATANIA,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),6,1
POLIS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),11,1
POLYSTYPOS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),8,1
PRODROMOS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),9,1
PYRGOS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),5,1
SAITTAS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),5,1
TAMASOS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),9,1
TEPAK,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),9,1
TRIPILOS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),7,1
TROODOS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),9,1
VISITOR,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),7,1
XYLIATOS,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),8,1
XYLOPHAGOU,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),9,1
ZYGI,,,,,2026-07-27T14:00:00+00:00,2026-09-05T15:30:00+00:00,2026-09-05 18:30 (Local Time),9,1
