collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),ACHNA,,,,,1,8,25.5,,27.1,23.6,2.2,0.6,,,310.0,,,,74.0,0.0,,,1.131777,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),ACHNA,,,,,1,8,27.6,,27.7,23.6,1.8,0.6,,,280.0,,,,58.0,0.0,,,0.925999,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),ACHNA,,,,,1,8,33.2,,34.5,23.6,4.7,1.6,,,184.0,,,,44.0,0.0,,,2.417887,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),ACHNA,,,,,1,8,31.0,,34.5,23.6,2.8,1.2,,,190.0,,,,55.0,0.0,,,1.440443,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),ACHNA,,,,,1,8,26.9,,34.5,23.6,0.6,0.0,,,225.0,,,,70.0,0.0,,,0.308666,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),ACHNA,,,,,1,8,27.2,,27.3,24.8,4.0,1.3,,,303.0,,,,67.0,0.0,,,2.057776,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),ACHNA,,,,,1,8,24.7,,27.3,24.6,0.5,0.0,,,335.0,,,,72.0,0.0,,,0.257222,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),ACHNA,,,,,1,8,22.3,,27.3,22.2,1.9,0.0,,,357.0,,,,81.0,0.0,,,0.977444,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),ACHNA,,,,,1,8,28.8,,29.0,21.4,1.8,0.5,,,12.0,,,,57.0,0.0,,,0.925999,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),ACHNA,,,,,1,8,34.8,,35.2,21.4,3.3,1.4,,,186.0,,,,46.0,0.0,,,1.697665,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),ACHNA,,,,,1,8,32.2,,35.2,21.4,5.8,1.9,,,177.0,,,,44.0,0.0,,,2.983775,,
