collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),AMARGETI,,,,,1,9,32.9,,35.7,20.8,14.7,4.7,,,304.0,,,,26.0,0.0,959.3,,7.562327,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),AMARGETI,,,,,1,9,30.9,,35.7,20.8,14.4,4.6,,,303.0,,,,27.0,0.0,959.0,,7.407994,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),AMARGETI,,,,,1,9,25.6,,35.7,20.8,14.6,4.5,,,329.0,,,,46.0,0.0,959.6,,7.510882,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),AMARGETI,,,,,1,9,23.0,,24.1,22.8,10.4,3.5,,,302.0,,,,63.0,0.0,960.1,,5.350218,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),AMARGETI,,,,,1,9,22.2,,24.6,21.9,10.0,2.7,,,324.0,,,,55.0,0.0,960.3,,5.14444,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),AMARGETI,,,,,1,9,25.2,,25.3,21.9,11.8,3.4,,,333.0,,,,33.0,0.0,960.1,,6.070439,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),AMARGETI,,,,,1,9,22.5,,25.3,21.9,9.6,3.1,,,314.0,,,,41.0,0.0,959.5,,4.938662,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),AMARGETI,,,,,1,9,21.5,,25.3,21.1,9.3,2.5,,,326.0,,,,43.0,0.0,959.0,,4.784329,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),AMARGETI,,,,,1,9,23.6,,25.3,21.1,11.2,2.8,,,337.0,,,,32.0,0.0,958.4,,5.761773,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),AMARGETI,,,,,1,9,24.6,,27.0,21.1,8.4,2.3,,,320.0,,,,32.0,0.0,958.5,,4.32133,,
