collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),AMARGETI,,,,,1,9,22.6,,26.2,22.0,6.2,2.0,,,311.0,,,,51.0,0.0,958.9,,3.189553,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),AMARGETI,,,,,1,9,27.6,,27.9,22.0,1.4,0.7,,,291.0,,,,37.0,0.0,959.5,,0.720222,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),AMARGETI,,,,,1,9,34.6,,35.2,22.0,4.6,1.6,,,239.0,,,,31.0,0.0,959.9,,2.366442,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),AMARGETI,,,,,1,9,32.1,,36.0,22.0,11.3,3.8,,,300.0,,,,33.0,0.0,959.3,,5.813217,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),AMARGETI,,,,,1,9,26.3,,36.0,22.0,9.0,2.3,,,338.0,,,,36.0,0.0,960.4,,4.629996,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),AMARGETI,,,,,1,9,25.6,,26.8,24.6,8.8,2.3,,,333.0,,,,37.0,0.0,960.3,,4.527107,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),AMARGETI,,,,,1,9,23.9,,26.8,23.7,6.6,2.5,,,309.0,,,,44.0,0.0,959.8,,3.39533,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),AMARGETI,,,,,1,9,24.1,,26.8,23.1,5.1,1.0,,,349.0,,,,44.0,0.0,959.8,,2.623664,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),AMARGETI,,,,,1,9,29.7,,29.8,23.1,2.5,1.0,,,138.0,,,,36.0,0.0,960.6,,1.28611,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),AMARGETI,,,,,1,9,32.8,,34.3,23.1,5.3,1.9,,,203.0,,,,36.0,0.0,960.6,,2.726553,,
