collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),ATHALASSA,,,,,1,11,25.5,23.3,27.4,25.5,5.5,2.2,,,273.0,,,,74.0,0.0,990.4,,2.829442,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1008.9}}"
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),ATHALASSA,,,,,1,11,27.9,29.9,28.0,23.1,2.2,1.2,,,290.0,,,,41.0,0.0,991.2,,1.131777,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1009.5}}"
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),ATHALASSA,,,,,1,11,35.4,41.7,35.7,23.1,0.7,1.1,,,184.0,,,,30.0,0.0,991.0,,0.360111,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1008.9}}"
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),ATHALASSA,,,,,1,11,34.7,39.5,36.9,23.1,4.3,1.4,,,144.0,,,,37.0,0.0,990.6,,2.212109,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1008.5}}"
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),ATHALASSA,,,,,1,11,27.9,25.8,36.9,23.1,5.6,2.4,,,265.0,,,,69.0,0.0,991.9,,2.880886,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1010.3}}"
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),ATHALASSA,,,,,1,11,26.3,23.9,27.7,26.3,3.9,1.6,,,280.0,,,,72.0,0.0,991.8,,2.006332,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1010.3}}"
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),ATHALASSA,,,,,1,11,25.3,22.1,27.7,25.2,2.4,1.1,,,263.0,,,,59.0,0.0,991.3,,1.234666,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1009.8}}"
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),ATHALASSA,,,,,1,11,23.1,19.4,27.7,22.2,2.8,0.9,,,277.0,,,,65.0,0.0,991.4,,1.440443,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1010.0}}"
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),ATHALASSA,,,,,1,11,28.1,30.4,28.2,20.2,1.2,1.1,,,341.0,,,,46.0,0.0,992.2,,0.617333,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1010.6}}"
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),ATHALASSA,,,,,1,11,36.5,41.7,37.4,20.2,2.1,1.5,,,52.0,,,,25.0,0.0,991.6,,1.080332,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1009.5}}"
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),ATHALASSA,,,,,1,11,36.7,40.8,38.7,20.2,4.2,1.8,,,124.0,,,,30.0,0.0,990.0,,2.160665,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1007.8}}"
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),ATHALASSA,,,,,1,11,28.1,26.0,38.7,20.2,7.6,3.2,,,269.0,,,,62.0,0.0,990.9,,3.909774,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1009.2}}"
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),ATHALASSA,,,,,1,11,26.3,24.2,27.7,26.2,6.9,2.9,,,276.0,,,,87.0,0.0,990.6,,3.549664,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1009.0}}"
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),ATHALASSA,,,,,1,11,25.7,23.0,27.7,25.6,1.0,0.8,,,299.0,,,,79.0,0.0,990.1,,0.514444,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1008.6}}"
2026-09-03T00:40:00+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03 03:30 (Local Time),ATHALASSA,,,,,1,11,23.3,20.5,27.7,23.1,1.2,0.4,,,244.0,,,,87.0,0.0,989.8,,0.617333,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1008.5}}"
2026-09-03T05:00:00+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03 08:00 (Local Time),ATHALASSA,,,,,1,11,27.1,30.3,27.7,21.1,1.3,0.8,,,336.0,,,,58.0,0.0,990.3,,0.668777,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1008.7}}"
2026-09-03T09:30:00+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03 12:30 (Local Time),ATHALASSA,,,,,1,11,36.8,42.3,37.1,21.1,2.4,1.4,,,145.0,,,,26.0,0.0,988.8,,1.234666,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1006.6}}"
2026-09-03T13:50:00+00:00,2026-09-03T13:53:05.760897+00:00,2026-09-03T13:53:05.760897+00:00,2026-09-03 16:40 (Local Time),ATHALASSA,,,,,1,11,37.1,41.9,38.3,21.1,2.7,1.2,,,167.0,,,,25.0,0.0,987.4,,1.388999,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1005.2}}"
2026-09-03T17:10:00+00:00,2026-09-03T17:19:20.989738+00:00,2026-09-03T17:19:20.989738+00:00,2026-09-03 20:10 (Local Time),ATHALASSA,,,,,1,11,27.7,25.9,38.3,21.1,4.1,2.0,,,271.0,,,,76.0,0.0,988.5,,2.10922,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1006.8}}"
2026-09-03T19:50:00+00:00,2026-09-03T19:57:59.047371+00:00,2026-09-03T19:57:59.047371+00:00,2026-09-03 22:50 (Local Time),ATHALASSA,,,,,1,11,26.5,24.3,27.1,26.4,3.5,1.3,,,280.0,,,,81.0,0.0,988.6,,1.800554,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1007.0}}"
2026-09-03T22:20:00+00:00,2026-09-03T22:29:57.465558+00:00,2026-09-03T22:29:57.465558+00:00,2026-09-04 01:20 (Local Time),ATHALASSA,,,,,1,11,25.5,23.0,27.1,25.4,3.3,1.0,,,256.0,,,,87.0,0.0,988.2,,1.697665,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1006.7}}"
2026-09-04T00:10:00+00:00,2026-09-04T00:18:56.580579+00:00,2026-09-04T00:18:56.580579+00:00,2026-09-04 03:10 (Local Time),ATHALASSA,,,,,1,11,22.4,18.7,27.1,22.2,1.1,0.2,,,183.0,,,,64.0,0.0,988.1,,0.565888,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1006.8}}"
2026-09-04T04:40:00+00:00,2026-09-04T04:45:45.717527+00:00,2026-09-04T04:45:45.717527+00:00,2026-09-04 07:40 (Local Time),ATHALASSA,,,,,1,11,23.4,26.6,27.1,19.6,0.6,0.6,,,195.0,,,,59.0,0.0,989.2,,0.308666,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1007.8}}"
2026-09-04T09:00:00+00:00,2026-09-04T09:05:06.541164+00:00,2026-09-04T09:05:06.541164+00:00,2026-09-04 12:00 (Local Time),ATHALASSA,,,,,1,11,33.9,39.7,34.3,19.6,3.1,1.9,,,67.0,,,,32.0,0.0,989.3,,1.594776,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1007.2}}"
2026-09-04T13:20:00+00:00,2026-09-04T13:26:14.774263+00:00,2026-09-04T13:26:14.774263+00:00,2026-09-04 16:20 (Local Time),ATHALASSA,,,,,1,11,34.1,34.3,36.8,19.6,4.7,1.5,,,138.0,,,,39.0,0.0,987.8,,2.417887,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1005.8}}"
2026-09-04T16:50:00+00:00,2026-09-04T16:55:20.414199+00:00,2026-09-04T16:55:20.414199+00:00,2026-09-04 19:50 (Local Time),ATHALASSA,,,,,1,11,28.5,26.5,36.8,19.6,7.3,2.5,,,259.0,,,,58.0,0.0,989.4,,3.755441,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1007.7}}"
2026-09-04T21:20:00+00:00,2026-09-04T21:28:37.350031+00:00,2026-09-04T21:28:37.350031+00:00,2026-09-05 00:20 (Local Time),ATHALASSA,,,,,1,11,25.4,22.9,27.0,25.3,2.4,1.0,,,258.0,,,,88.0,0.0,990.9,,1.234666,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1009.4}}"
2026-09-04T23:10:00+00:00,2026-09-04T23:13:59.362901+00:00,2026-09-04T23:13:59.362901+00:00,2026-09-05 02:00 (Local Time),ATHALASSA,,,,,1,11,24.2,21.3,27.0,24.0,0.0,0.4,,,155.0,,,,94.0,0.0,990.9,,0.0,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1009.5}}"
2026-09-05T00:50:00+00:00,2026-09-05T00:58:36.798402+00:00,2026-09-05T00:58:36.798402+00:00,2026-09-05 03:50 (Local Time),ATHALASSA,,,,,1,11,22.5,20.3,27.0,22.5,2.3,0.8,,,216.0,,,,100.0,0.0,990.8,,1.183221,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1009.5}}"
2026-09-05T05:30:00+00:00,2026-09-05T05:34:27.041536+00:00,2026-09-05T05:34:27.041536+00:00,2026-09-05 08:20 (Local Time),ATHALASSA,,,,,1,11,26.2,28.9,27.0,21.3,1.2,0.8,,,192.0,,,,77.0,0.0,992.1,,0.617333,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1010.6}}"
2026-09-05T09:10:00+00:00,2026-09-05T09:17:45.504072+00:00,2026-09-05T09:17:45.504072+00:00,2026-09-05 12:10 (Local Time),ATHALASSA,,,,,1,11,33.1,39.5,33.7,21.3,2.3,1.4,,,92.0,,,,44.0,0.0,991.9,,1.183221,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1010.0}}"
