collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),CAVO_GRECO,,,,,1,9,24.5,,26.8,24.4,5.8,1.5,,,248.0,,,,71.0,0.0,1001.5,,2.983775,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),CAVO_GRECO,,,,,1,9,29.1,,29.3,23.7,0.8,0.7,,,270.0,,,,58.0,0.0,1002.2,,0.411555,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),CAVO_GRECO,,,,,1,9,31.3,,31.5,23.7,5.1,2.0,,,352.0,,,,64.0,0.0,1003.1,,2.623664,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),CAVO_GRECO,,,,,1,9,30.1,,32.7,23.7,8.1,2.5,,,234.0,,,,63.0,0.0,1002.4,,4.166996,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),CAVO_GRECO,,,,,1,9,26.5,,32.7,23.7,6.3,1.9,,,216.0,,,,74.0,0.0,1002.9,,3.240997,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),CAVO_GRECO,,,,,1,9,25.2,,26.4,25.2,4.1,1.0,,,232.0,,,,86.0,0.0,1003.0,,2.10922,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),CAVO_GRECO,,,,,1,9,23.9,,26.4,23.8,2.2,0.7,,,246.0,,,,85.0,0.0,1002.6,,1.131777,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),CAVO_GRECO,,,,,1,9,23.8,,26.4,23.0,4.3,0.8,,,298.0,,,,83.0,0.0,1002.5,,2.212109,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),CAVO_GRECO,,,,,1,9,29.0,,29.0,23.0,2.6,1.4,,,354.0,,,,70.0,0.0,1003.3,,1.337554,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),CAVO_GRECO,,,,,1,9,31.5,,31.6,23.0,5.0,2.0,,,64.0,,,,63.0,0.0,1003.4,,2.57222,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),CAVO_GRECO,,,,,1,9,30.9,,33.1,23.0,8.3,3.2,,,220.0,,,,65.0,0.0,1002.0,,4.269885,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),CAVO_GRECO,,,,,1,9,26.4,,33.1,23.0,7.5,2.3,,,263.0,,,,79.0,0.0,1001.5,,3.85833,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),CAVO_GRECO,,,,,1,9,24.9,,26.4,24.9,1.1,0.0,,,236.0,,,,84.0,0.0,1001.7,,0.565888,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),CAVO_GRECO,,,,,1,9,24.5,,26.4,24.4,5.5,1.6,,,280.0,,,,83.0,0.0,1001.2,,2.829442,,
2026-09-03T00:40:00+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03 03:30 (Local Time),CAVO_GRECO,,,,,1,9,25.0,,26.4,24.4,3.7,1.0,,,234.0,,,,68.0,0.0,1000.8,,1.903443,,
2026-09-03T05:00:00+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03 08:00 (Local Time),CAVO_GRECO,,,,,1,9,29.4,,29.5,23.7,2.4,1.0,,,236.0,,,,55.0,0.0,1001.4,,1.234666,,
2026-09-03T09:30:00+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03 12:30 (Local Time),CAVO_GRECO,,,,,1,9,32.0,,32.1,23.7,4.6,1.6,,,169.0,,,,66.0,0.0,1000.8,,2.366442,,
2026-09-03T13:50:00+00:00,2026-09-03T13:53:05.760897+00:00,2026-09-03T13:53:05.760897+00:00,2026-09-03 16:40 (Local Time),CAVO_GRECO,,,,,1,9,30.2,,32.6,23.7,8.6,3.1,,,218.0,,,,66.0,0.0,999.4,,4.424218,,
2026-09-03T17:10:00+00:00,2026-09-03T17:19:20.989738+00:00,2026-09-03T17:19:20.989738+00:00,2026-09-03 20:10 (Local Time),CAVO_GRECO,,,,,1,9,26.7,,32.6,23.7,10.3,2.8,,,232.0,,,,85.0,0.0,999.5,,5.298773,,
2026-09-03T19:50:00+00:00,2026-09-03T19:57:59.047371+00:00,2026-09-03T19:57:59.047371+00:00,2026-09-03 22:50 (Local Time),CAVO_GRECO,,,,,1,9,26.2,,26.4,26.2,7.1,2.9,,,177.0,,,,90.0,0.0,999.6,,3.652552,,
2026-09-03T22:20:00+00:00,2026-09-03T22:29:57.465558+00:00,2026-09-03T22:29:57.465558+00:00,2026-09-04 01:20 (Local Time),CAVO_GRECO,,,,,1,9,25.8,,26.4,25.6,5.5,1.5,,,232.0,,,,90.0,0.0,999.5,,2.829442,,
2026-09-04T00:10:00+00:00,2026-09-04T00:18:56.580579+00:00,2026-09-04T00:18:56.580579+00:00,2026-09-04 03:10 (Local Time),CAVO_GRECO,,,,,1,9,25.8,,26.4,25.6,5.5,2.0,,,232.0,,,,90.0,0.0,999.2,,2.829442,,
