collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),EPTAGONEIA,,,,,1,8,18.9,,22.4,18.7,1.5,0.0,,,235.0,,,,60.0,0.0,,,0.771666,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),EPTAGONEIA,,,,,1,8,22.4,,22.6,18.2,1.1,0.0,,,243.0,,,,52.0,0.0,,,0.565888,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),EPTAGONEIA,,,,,1,8,30.6,,32.7,18.2,5.9,1.8,,,210.0,,,,41.0,0.0,,,3.03522,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),EPTAGONEIA,,,,,1,8,29.8,,32.7,18.2,3.4,1.2,,,215.0,,,,47.0,0.0,,,1.74911,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),EPTAGONEIA,,,,,1,8,23.3,,32.7,18.2,1.2,0.0,,,260.0,,,,62.0,0.0,,,0.617333,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),EPTAGONEIA,,,,,1,8,21.4,,22.9,20.9,0.7,0.3,,,36.0,,,,59.0,0.0,,,0.360111,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),EPTAGONEIA,,,,,1,8,20.5,,22.9,20.3,0.6,0.3,,,278.0,,,,61.0,0.0,,,0.308666,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),EPTAGONEIA,,,,,1,8,20.3,,22.9,20.0,2.0,0.2,,,244.0,,,,60.0,0.0,,,1.028888,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),EPTAGONEIA,,,,,1,8,25.2,,25.6,18.5,2.6,0.9,,,241.0,,,,45.0,0.0,,,1.337554,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),EPTAGONEIA,,,,,1,8,32.1,,33.1,18.5,8.8,3.1,,,247.0,,,,44.0,0.0,,,4.527107,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),EPTAGONEIA,,,,,1,8,31.4,,33.1,18.5,6.4,2.1,,,250.0,,,,40.0,0.0,,,3.292442,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),EPTAGONEIA,,,,,1,8,23.6,,33.1,18.5,1.7,0.1,,,302.0,,,,60.0,0.0,,,0.874555,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),EPTAGONEIA,,,,,1,8,21.4,,23.0,20.8,1.9,0.0,,,276.0,,,,70.0,0.0,,,0.977444,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),EPTAGONEIA,,,,,1,8,21.0,,23.1,20.8,1.5,0.0,,,259.0,,,,67.0,0.0,,,0.771666,,
2026-09-03T00:40:00+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03 03:30 (Local Time),EPTAGONEIA,,,,,1,8,20.4,,23.1,20.1,2.7,0.4,,,256.0,,,,67.0,0.0,,,1.388999,,
