collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),FARMAKAS,,,,,1,10,19.5,,20.7,18.9,1.9,1.4,2.0,0.0,152.0,,,,55.0,0.0,,,0.977444,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),FARMAKAS,,,,,1,10,21.7,,22.1,18.5,2.6,0.9,631.0,241.0,128.0,,,,58.0,0.0,,,1.337554,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),FARMAKAS,,,,,1,10,33.0,,34.2,18.5,6.8,1.5,848.0,906.0,21.0,,,,29.0,0.0,,,3.498219,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),FARMAKAS,,,,,1,10,27.9,,34.2,18.5,2.8,1.5,587.0,283.0,173.0,,,,47.0,0.0,,,1.440443,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),FARMAKAS,,,,,1,10,21.1,,34.2,18.5,1.8,1.3,2.0,0.0,165.0,,,,70.0,0.0,,,0.925999,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),FARMAKAS,,,,,1,10,20.1,,20.8,20.0,2.0,1.0,2.0,0.0,148.0,,,,58.0,0.0,,,1.028888,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),FARMAKAS,,,,,1,10,19.9,,20.8,19.8,1.7,1.5,2.0,0.0,155.0,,,,59.0,0.0,,,0.874555,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),FARMAKAS,,,,,1,10,19.9,,20.8,19.6,2.0,1.3,2.0,0.0,148.0,,,,56.0,0.0,,,1.028888,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),FARMAKAS,,,,,1,10,26.2,,26.4,19.0,1.5,0.7,729.0,360.0,79.0,,,,42.0,0.0,,,0.771666,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),FARMAKAS,,,,,1,10,34.1,,34.9,19.0,8.0,1.8,872.0,922.0,15.0,,,,27.0,0.0,,,4.115552,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),FARMAKAS,,,,,1,10,29.7,,35.5,19.0,4.9,3.1,791.0,488.0,219.0,,,,44.0,0.0,,,2.520776,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),FARMAKAS,,,,,1,10,22.4,,35.5,19.0,1.8,1.2,2.0,0.0,155.0,,,,73.0,0.0,,,0.925999,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),FARMAKAS,,,,,1,10,20.4,,22.1,20.3,2.4,1.6,2.0,0.0,164.0,,,,77.0,0.0,,,1.234666,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),FARMAKAS,,,,,1,10,20.2,,22.1,20.2,2.6,1.8,2.0,0.0,164.0,,,,63.0,0.0,,,1.337554,,
2026-09-03T00:40:00+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03 03:30 (Local Time),FARMAKAS,,,,,1,10,20.2,,22.1,20.1,3.9,1.8,2.0,0.0,179.0,,,,68.0,0.0,,,2.006332,,
