collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),KOURIS,,,,,1,8,25.6,,26.2,25.3,13.6,4.4,,,14.0,,,,44.0,0.0,,,6.996438,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),KOURIS,,,,,1,8,26.7,,26.8,24.2,10.1,4.5,,,28.0,,,,42.0,0.0,,,5.195884,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),KOURIS,,,,,1,8,34.0,,34.5,24.2,7.0,1.9,,,207.0,,,,48.0,0.0,,,3.601108,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),KOURIS,,,,,1,8,32.7,,35.0,24.2,5.4,1.2,,,211.0,,,,51.0,0.0,,,2.777998,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),KOURIS,,,,,1,8,27.7,,35.0,24.2,7.8,2.6,,,15.0,,,,67.0,0.0,,,4.012663,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),KOURIS,,,,,1,8,26.8,,27.4,26.6,12.3,4.0,,,13.0,,,,51.0,0.0,,,6.327661,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),KOURIS,,,,,1,8,26.4,,27.4,26.4,11.0,4.8,,,21.0,,,,49.0,0.0,,,5.658884,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),KOURIS,,,,,1,8,24.8,,27.4,24.6,3.1,1.6,,,56.0,,,,55.0,0.0,,,1.594776,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),KOURIS,,,,,1,8,28.5,,28.6,23.2,0.6,1.0,,,217.0,,,,46.0,0.0,,,0.308666,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),KOURIS,,,,,1,8,34.5,,34.8,23.2,5.1,1.5,,,213.0,,,,33.0,0.0,,,2.623664,,
