collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),LINOU,,,,,1,9,25.0,,25.7,24.0,3.9,1.5,,,173.0,,,,41.0,0.0,963.4,,2.006332,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),LINOU,,,,,1,9,29.2,,29.5,23.9,2.3,1.0,,,186.0,,,,36.0,0.0,964.0,,1.183221,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),LINOU,,,,,1,9,32.3,,33.0,23.9,10.1,3.5,,,336.0,,,,39.0,0.0,964.5,,5.195884,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),LINOU,,,,,1,9,31.5,,33.7,23.9,8.0,2.1,,,342.0,,,,49.0,0.0,964.1,,4.115552,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),LINOU,,,,,1,9,25.3,,33.7,23.9,4.4,2.0,,,141.0,,,,57.0,0.0,964.9,,2.263554,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),LINOU,,,,,1,9,25.8,,26.3,25.5,3.8,1.5,,,169.0,,,,45.0,0.0,964.9,,1.954887,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),LINOU,,,,,1,9,25.3,,26.3,25.3,5.4,2.1,,,180.0,,,,46.0,0.0,964.3,,2.777998,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),LINOU,,,,,1,9,25.4,,26.3,25.2,3.9,1.6,,,196.0,,,,42.0,0.0,964.3,,2.006332,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),LINOU,,,,,1,9,30.7,,30.8,24.7,3.7,2.0,,,204.0,,,,33.0,0.0,964.9,,1.903443,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),LINOU,,,,,1,9,32.6,,33.4,24.7,7.6,3.0,,,336.0,,,,44.0,0.0,964.8,,3.909774,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),LINOU,,,,,1,9,31.9,,33.4,24.7,6.5,2.3,,,329.0,,,,53.0,0.0,963.7,,3.343886,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),LINOU,,,,,1,9,24.5,,33.4,24.4,4.6,1.8,,,128.0,,,,87.0,0.0,964.0,,2.366442,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),LINOU,,,,,1,9,25.1,,25.2,24.4,4.7,1.8,,,177.0,,,,66.0,0.0,963.7,,2.417887,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),LINOU,,,,,1,9,25.9,,26.3,24.4,5.4,2.2,,,177.0,,,,47.0,0.0,963.0,,2.777998,,
2026-09-03T00:40:00+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03 03:30 (Local Time),LINOU,,,,,1,9,25.1,,26.7,24.4,2.1,1.4,,,123.0,,,,50.0,0.0,962.7,,1.080332,,
2026-09-03T05:00:00+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03 08:00 (Local Time),LINOU,,,,,1,9,29.6,,30.1,24.0,3.5,1.3,,,104.0,,,,39.0,0.0,963.1,,1.800554,,
2026-09-03T09:30:00+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03 12:30 (Local Time),LINOU,,,,,1,9,32.6,,33.7,24.0,7.2,2.7,,,330.0,,,,36.0,0.0,962.2,,3.703997,,
