collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),MALLIA,,,,,1,10,32.5,38.2,34.3,17.3,15.2,2.2,,592.0,250.0,,,,29.0,0.0,,,7.819549,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),MALLIA,,,,,1,10,29.9,29.7,34.3,17.3,6.0,1.9,,124.0,319.0,,,,29.0,0.0,,,3.086664,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),MALLIA,,,,,1,10,25.4,24.0,34.3,17.3,3.8,0.7,,15.0,256.0,,,,38.0,0.0,,,1.954887,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),MALLIA,,,,,1,10,21.5,19.0,22.3,21.4,2.0,0.1,,10.0,203.0,,,,49.0,0.0,,,1.028888,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),MALLIA,,,,,1,10,21.2,18.0,22.3,20.9,1.3,0.2,,10.0,201.0,,,,49.0,0.0,,,0.668777,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),MALLIA,,,,,1,10,20.5,17.1,22.3,20.3,2.4,0.1,,11.0,218.0,,,,39.0,0.0,,,1.234666,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),MALLIA,,,,,1,10,19.9,16.1,22.3,19.8,0.7,0.2,,10.0,71.0,,,,39.0,0.0,,,0.360111,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),MALLIA,,,,,1,10,22.5,18.1,22.7,19.8,3.4,1.1,,10.0,10.0,,,,37.0,0.0,,,1.74911,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),MALLIA,,,,,1,10,20.5,16.4,22.7,19.8,1.3,0.6,,11.0,98.0,,,,39.0,0.0,,,0.668777,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),MALLIA,,,,,1,10,21.4,22.2,22.7,18.8,3.1,1.0,,207.0,53.0,,,,35.0,0.0,,,1.594776,,
