collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),MAMMARI,,,,,1,10,24.4,,29.0,24.2,,3.0,,3.0,,,,,74.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1009.9}, ""Wind Direction (10m) at Runway 12"": {""unit"": ""Degrees"", ""value"": 244.0}, ""Wind Speed (10m) at Runway 12"": {""unit"": ""Knots"", ""value"": 7.4}}"
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),MAMMARI,,,,,1,10,27.5,,29.0,23.0,,1.8,,274.0,,,,,42.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1010.7}, ""Wind Direction (10m) at Runway 12"": {""unit"": ""Degrees"", ""value"": 257.0}, ""Wind Speed (10m) at Runway 12"": {""unit"": ""Knots"", ""value"": 4.0}}"
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),MAMMARI,,,,,1,10,34.7,,35.5,23.0,,3.3,,787.0,,,,,34.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1010.7}, ""Wind Direction (10m) at Runway 12"": {""unit"": ""Degrees"", ""value"": 279.0}, ""Wind Speed (10m) at Runway 12"": {""unit"": ""Knots"", ""value"": 6.7}}"
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),MAMMARI,,,,,1,10,32.9,,36.3,23.0,,6.2,,303.0,,,,,48.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1010.1}, ""Wind Direction (10m) at Runway 12"": {""unit"": ""Degrees"", ""value"": 235.0}, ""Wind Speed (10m) at Runway 12"": {""unit"": ""Knots"", ""value"": 13.2}}"
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),MAMMARI,,,,,1,10,26.6,,36.3,23.0,,3.8,,4.0,,,,,84.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1011.6}, ""Wind Direction (10m) at Runway 12"": {""unit"": ""Degrees"", ""value"": 248.0}, ""Wind Speed (10m) at Runway 12"": {""unit"": ""Knots"", ""value"": 9.4}}"
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),MAMMARI,,,,,1,10,25.2,,26.4,24.9,,2.4,,3.0,,,,,66.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1011.5}, ""Wind Direction (10m) at Runway 12"": {""unit"": ""Degrees"", ""value"": 255.0}, ""Wind Speed (10m) at Runway 12"": {""unit"": ""Knots"", ""value"": 6.3}}"
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),MAMMARI,,,,,1,10,24.7,,26.4,24.5,,2.9,,4.0,,,,,58.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1010.8}, ""Wind Direction (10m) at Runway 12"": {""unit"": ""Degrees"", ""value"": 248.0}, ""Wind Speed (10m) at Runway 12"": {""unit"": ""Knots"", ""value"": 7.3}}"
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),MAMMARI,,,,,1,10,23.6,,26.4,22.8,,2.9,,4.0,,,,,57.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1010.8}, ""Wind Direction (10m) at Runway 12"": {""unit"": ""Degrees"", ""value"": 240.0}, ""Wind Speed (10m) at Runway 12"": {""unit"": ""Knots"", ""value"": 7.2}}"
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),MAMMARI,,,,,1,10,29.5,,29.7,22.8,,1.2,,385.0,,,,,40.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1011.6}, ""Wind Direction (10m) at Runway 12"": {""unit"": ""Degrees"", ""value"": 285.0}, ""Wind Speed (10m) at Runway 12"": {""unit"": ""Knots"", ""value"": 2.5}}"
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),MAMMARI,,,,,1,10,35.9,,36.6,22.8,,1.7,,914.0,,,,,26.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1011.2}, ""Wind Direction (10m) at Runway 12"": {""unit"": ""Degrees"", ""value"": 60.0}, ""Wind Speed (10m) at Runway 12"": {""unit"": ""Knots"", ""value"": 4.5}}"
