collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),POLYSTYPOS,,,,,1,8,21.3,,21.7,19.6,1.4,0.3,,,18.0,,,,45.0,0.0,,,0.720222,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),POLYSTYPOS,,,,,1,8,23.0,,23.1,19.6,4.5,1.8,,,356.0,,,,45.0,0.0,,,2.314998,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),POLYSTYPOS,,,,,1,8,27.8,,28.6,19.6,1.5,1.7,,,58.0,,,,35.0,0.0,,,0.771666,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),POLYSTYPOS,,,,,1,8,25.0,,28.6,19.6,1.3,0.3,,,341.0,,,,47.0,0.0,,,0.668777,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),POLYSTYPOS,,,,,1,8,21.8,,28.6,19.6,0.8,0.1,,,282.0,,,,57.0,0.0,,,0.411555,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),POLYSTYPOS,,,,,1,8,21.3,,21.8,20.8,2.0,0.3,,,343.0,,,,50.0,0.0,,,1.028888,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),POLYSTYPOS,,,,,1,8,22.3,,22.4,20.8,2.8,1.1,,,353.0,,,,46.0,0.0,,,1.440443,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),POLYSTYPOS,,,,,1,8,21.8,,23.0,20.8,3.5,1.5,,,354.0,,,,44.0,0.0,,,1.800554,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),POLYSTYPOS,,,,,1,8,25.8,,26.1,20.8,2.8,0.8,,,336.0,,,,36.0,0.0,,,1.440443,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),POLYSTYPOS,,,,,1,8,29.7,,30.3,20.8,1.6,1.6,,,41.0,,,,28.0,0.0,,,0.82311,,
