collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),TROODOS,,,,,1,9,15.6,,16.3,14.2,4.7,1.5,,,341.0,,,,63.0,0.0,827.2,,2.417887,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),TROODOS,,,,,1,9,18.2,,18.3,14.2,5.5,1.7,,,359.0,,,,59.0,0.0,827.6,,2.829442,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),TROODOS,,,,,1,9,22.6,,24.6,14.2,3.6,1.2,,,7.0,,,,44.0,0.0,828.6,,1.851998,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),TROODOS,,,,,1,9,20.2,,24.6,14.2,5.0,1.5,,,7.0,,,,59.0,0.0,828.3,,2.57222,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),TROODOS,,,,,1,9,16.9,,24.6,14.2,8.0,1.3,,,22.0,,,,76.0,0.0,828.7,,4.115552,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),TROODOS,,,,,1,9,16.8,,17.6,16.5,8.8,1.6,,,14.0,,,,70.0,0.0,828.8,,4.527107,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),TROODOS,,,,,1,9,16.7,,17.6,16.5,9.6,2.4,,,2.0,,,,60.0,0.0,828.3,,4.938662,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),TROODOS,,,,,1,9,16.8,,17.6,16.5,9.6,2.4,,,357.0,,,,56.0,0.0,828.2,,4.938662,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),TROODOS,,,,,1,9,20.2,,20.3,16.2,7.9,1.9,,,15.0,,,,44.0,0.0,828.9,,4.064108,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),TROODOS,,,,,1,9,24.9,,26.0,16.2,2.4,1.1,,,93.0,,,,37.0,0.0,829.2,,1.234666,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),TROODOS,,,,,1,9,22.0,,26.0,16.2,4.6,1.5,,,8.0,,,,60.0,0.0,828.5,,2.366442,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),TROODOS,,,,,1,9,18.6,,26.0,16.2,7.7,1.4,,,37.0,,,,51.0,0.0,828.5,,3.961219,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),TROODOS,,,,,1,9,17.5,,18.8,17.4,2.2,0.6,,,51.0,,,,51.0,0.0,828.4,,1.131777,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),TROODOS,,,,,1,9,17.4,,18.8,16.5,1.3,0.6,,,155.0,,,,36.0,0.0,827.9,,0.668777,,
2026-09-03T00:40:00+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03 03:30 (Local Time),TROODOS,,,,,1,9,17.1,,18.8,16.5,0.8,0.7,,,353.0,,,,39.0,0.0,827.5,,0.411555,,
2026-09-03T05:00:00+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03 08:00 (Local Time),TROODOS,,,,,1,9,20.9,,21.7,16.5,2.2,0.7,,,76.0,,,,41.0,0.0,827.6,,1.131777,,
2026-09-03T09:30:00+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03 12:30 (Local Time),TROODOS,,,,,1,9,24.8,,26.3,16.5,4.9,1.4,,,111.0,,,,38.0,0.0,827.2,,2.520776,,
2026-09-03T13:50:00+00:00,2026-09-03T13:53:05.760897+00:00,2026-09-03T13:53:05.760897+00:00,2026-09-03 16:40 (Local Time),TROODOS,,,,,1,9,20.5,,26.3,16.5,2.6,1.0,,,236.0,,,,58.0,0.0,826.3,,1.337554,,
2026-09-03T17:10:00+00:00,2026-09-03T17:19:20.989738+00:00,2026-09-03T17:19:20.989738+00:00,2026-09-03 20:10 (Local Time),TROODOS,,,,,1,9,17.9,,26.3,16.5,6.0,1.7,,,336.0,,,,47.0,0.0,826.2,,3.086664,,
2026-09-03T19:50:00+00:00,2026-09-03T19:57:59.047371+00:00,2026-09-03T19:57:59.047371+00:00,2026-09-03 22:50 (Local Time),TROODOS,,,,,1,9,16.4,,17.9,16.2,2.9,0.9,,,338.0,,,,66.0,0.0,826.4,,1.491888,,
2026-09-03T22:20:00+00:00,2026-09-03T22:29:57.465558+00:00,2026-09-03T22:29:57.465558+00:00,2026-09-04 01:20 (Local Time),TROODOS,,,,,1,9,15.8,,17.9,15.4,1.3,0.6,,,327.0,,,,70.0,0.0,826.0,,0.668777,,
2026-09-04T00:10:00+00:00,2026-09-04T00:18:56.580579+00:00,2026-09-04T00:18:56.580579+00:00,2026-09-04 03:10 (Local Time),TROODOS,,,,,1,9,15.3,,17.9,15.2,1.5,0.6,,,323.0,,,,70.0,0.0,825.5,,0.771666,,
2026-09-04T04:40:00+00:00,2026-09-04T04:45:45.717527+00:00,2026-09-04T04:45:45.717527+00:00,2026-09-04 07:40 (Local Time),TROODOS,,,,,1,9,19.2,,19.4,15.0,3.2,1.1,,,354.0,,,,39.0,0.0,826.0,,1.646221,,
2026-09-04T09:00:00+00:00,2026-09-04T09:05:06.541164+00:00,2026-09-04T09:05:06.541164+00:00,2026-09-04 12:00 (Local Time),TROODOS,,,,,1,9,23.4,,24.2,15.0,1.0,1.2,,,336.0,,,,27.0,0.0,826.7,,0.514444,,
2026-09-04T13:20:00+00:00,2026-09-04T13:26:14.774263+00:00,2026-09-04T13:26:14.774263+00:00,2026-09-04 16:20 (Local Time),TROODOS,,,,,1,9,21.4,,24.9,15.0,4.0,1.3,,,359.0,,,,48.0,0.0,826.4,,2.057776,,
2026-09-04T16:50:00+00:00,2026-09-04T16:55:20.414199+00:00,2026-09-04T16:55:20.414199+00:00,2026-09-04 19:50 (Local Time),TROODOS,,,,,1,9,16.6,,24.9,15.0,2.4,1.1,,,240.0,,,,68.0,0.0,827.0,,1.234666,,
2026-09-04T21:20:00+00:00,2026-09-04T21:28:37.350031+00:00,2026-09-04T21:28:37.350031+00:00,2026-09-05 00:20 (Local Time),TROODOS,,,,,1,9,17.5,,17.6,16.7,4.3,1.5,,,311.0,,,,39.0,0.0,827.9,,2.212109,,
2026-09-04T23:10:00+00:00,2026-09-04T23:13:59.362901+00:00,2026-09-04T23:13:59.362901+00:00,2026-09-05 02:00 (Local Time),TROODOS,,,,,1,9,16.2,,17.7,16.1,4.4,1.2,,,311.0,,,,39.0,0.0,827.6,,2.263554,,
2026-09-05T00:50:00+00:00,2026-09-05T00:58:36.798402+00:00,2026-09-05T00:58:36.798402+00:00,2026-09-05 03:50 (Local Time),TROODOS,,,,,1,9,16.3,,17.7,15.9,2.5,0.7,,,323.0,,,,36.0,0.0,827.3,,1.28611,,
2026-09-05T05:30:00+00:00,2026-09-05T05:34:27.041536+00:00,2026-09-05T05:34:27.041536+00:00,2026-09-05 08:20 (Local Time),TROODOS,,,,,1,9,21.1,,21.3,15.9,2.0,0.6,,,93.0,,,,28.0,0.0,828.3,,1.028888,,
2026-09-05T09:10:00+00:00,2026-09-05T09:17:45.504072+00:00,2026-09-05T09:17:45.504072+00:00,2026-09-05 12:10 (Local Time),TROODOS,,,,,1,9,20.7,,24.0,15.9,2.7,1.2,,,185.0,,,,59.0,0.0,829.0,,1.388999,,
2026-09-05T12:40:00+00:00,2026-09-05T12:46:38.234247+00:00,2026-09-05T12:46:38.234247+00:00,2026-09-05 15:40 (Local Time),TROODOS,,,,,1,9,20.3,,24.0,11.8,0.0,0.1,,,36.0,,,,55.0,0.0,828.6,,0.0,,
2026-09-05T15:30:00+00:00,2026-09-05T15:36:48.906932+00:00,2026-09-05T15:36:48.906932+00:00,2026-09-05 18:30 (Local Time),TROODOS,,,,,1,9,18.6,,24.0,11.8,0.7,0.3,,,58.0,,,,67.0,0.0,828.5,,0.360111,,
2026-09-05T17:30:00+00:00,2026-09-05T17:34:18.514718+00:00,2026-09-05T17:34:18.514718+00:00,2026-09-05 20:20 (Local Time),TROODOS,,,,,1,9,15.5,,24.0,11.8,2.3,1.3,,,250.0,,,,66.0,0.0,828.9,,1.183221,,
2026-09-05T19:20:00+00:00,2026-09-05T19:24:14.745082+00:00,2026-09-05T19:24:14.745082+00:00,2026-09-05 22:10 (Local Time),TROODOS,,,,,1,9,16.1,,16.4,15.4,1.9,0.8,,,313.0,,,,59.0,0.0,828.9,,0.977444,,
2026-09-05T21:20:00+00:00,2026-09-05T21:24:29.534473+00:00,2026-09-05T21:24:29.534473+00:00,2026-09-06 00:10 (Local Time),TROODOS,,,,,1,9,17.2,,17.3,15.4,5.6,1.5,,,341.0,,,,42.0,0.0,828.6,,2.880886,,
2026-09-05T23:00:00+00:00,2026-09-05T23:03:04.494056+00:00,2026-09-05T23:03:04.494056+00:00,2026-09-06 01:50 (Local Time),TROODOS,,,,,1,9,17.3,,17.6,15.4,6.2,2.1,,,325.0,,,,42.0,0.0,828.2,,3.189553,,
2026-09-06T00:40:00+00:00,2026-09-06T00:49:26.903513+00:00,2026-09-06T00:49:26.903513+00:00,2026-09-06 03:40 (Local Time),TROODOS,,,,,1,9,17.0,,18.0,15.4,8.4,2.3,,,347.0,,,,57.0,0.0,828.0,,4.32133,,
2026-09-06T05:10:00+00:00,2026-09-06T05:11:15.997922+00:00,2026-09-06T05:11:15.997922+00:00,2026-09-06 08:00 (Local Time),TROODOS,,,,,1,9,19.7,,19.8,15.4,6.5,1.8,,,359.0,,,,28.0,0.0,828.7,,3.343886,,
2026-09-06T09:20:00+00:00,2026-09-06T09:26:21.396765+00:00,2026-09-06T09:26:21.396765+00:00,2026-09-06 12:20 (Local Time),TROODOS,,,,,1,9,24.1,,24.3,15.4,5.7,1.6,,,20.0,,,,24.0,0.0,829.4,,2.932331,,
2026-09-06T13:00:00+00:00,2026-09-06T13:01:00.422439+00:00,2026-09-06T13:01:00.422439+00:00,2026-09-06 15:50 (Local Time),TROODOS,,,,,1,9,23.2,,25.0,15.4,6.1,1.8,,,351.0,,,,33.0,0.0,829.2,,3.138108,,
2026-09-06T16:00:00+00:00,2026-09-06T16:09:55.676959+00:00,2026-09-06T16:09:55.676959+00:00,2026-09-06 19:00 (Local Time),TROODOS,,,,,1,9,18.5,,25.0,15.4,7.7,2.1,,,341.0,,,,43.0,0.0,829.8,,3.961219,,
2026-09-06T18:10:00+00:00,2026-09-06T18:17:21.822442+00:00,2026-09-06T18:17:21.822442+00:00,2026-09-06 21:10 (Local Time),TROODOS,,,,,1,9,18.5,,18.6,18.4,12.1,3.2,,,355.0,,,,32.0,0.0,830.4,,6.224772,,
2026-09-06T20:20:00+00:00,2026-09-06T20:28:30.159611+00:00,2026-09-06T20:28:30.159611+00:00,2026-09-06 23:20 (Local Time),TROODOS,,,,,1,9,18.9,,19.2,18.3,10.1,3.3,,,343.0,,,,32.0,0.0,830.7,,5.195884,,
2026-09-06T22:10:00+00:00,2026-09-06T22:16:29.921586+00:00,2026-09-06T22:16:29.921586+00:00,2026-09-07 01:10 (Local Time),TROODOS,,,,,1,9,18.6,,19.2,18.3,9.4,2.8,,,348.0,,,,38.0,0.0,830.8,,4.835774,,
2026-09-06T23:50:00+00:00,2026-09-06T23:57:54.662656+00:00,2026-09-06T23:57:54.662656+00:00,2026-09-07 02:50 (Local Time),TROODOS,,,,,1,9,18.0,,19.2,17.9,9.4,2.4,,,2.0,,,,38.0,0.0,830.4,,4.835774,,
2026-09-07T04:20:00+00:00,2026-09-07T04:22:20.401364+00:00,2026-09-07T04:22:20.401364+00:00,2026-09-07 07:10 (Local Time),TROODOS,,,,,1,9,18.0,,19.2,17.4,8.4,2.2,,,2.0,,,,40.0,0.0,830.5,,4.32133,,
2026-09-07T09:20:00+00:00,2026-09-07T09:29:49.618570+00:00,2026-09-07T09:29:49.618570+00:00,2026-09-07 12:20 (Local Time),TROODOS,,,,,1,9,25.0,,26.0,17.4,5.9,1.9,,,12.0,,,,31.0,0.0,831.2,,3.03522,,
2026-09-07T15:10:00+00:00,2026-09-07T15:11:23.548927+00:00,2026-09-07T15:11:23.548927+00:00,2026-09-07 18:00 (Local Time),TROODOS,,,,,1,9,20.5,,26.0,17.4,3.7,1.1,,,342.0,,,,35.0,0.0,829.7,,1.903443,,
2026-09-07T19:00:00+00:00,2026-09-07T19:09:33.641112+00:00,2026-09-07T19:09:33.641112+00:00,2026-09-07 22:00 (Local Time),TROODOS,,,,,1,9,17.9,,18.6,17.7,8.9,2.6,,,339.0,,,,35.0,0.0,829.6,,4.578552,,
2026-09-07T22:00:00+00:00,2026-09-07T22:01:25.148794+00:00,2026-09-07T22:01:25.148794+00:00,2026-09-08 00:50 (Local Time),TROODOS,,,,,1,9,16.0,,18.6,15.5,4.1,1.2,,,305.0,,,,41.0,0.0,829.0,,2.10922,,
2026-09-08T00:10:00+00:00,2026-09-08T00:11:07.057495+00:00,2026-09-08T00:11:07.057495+00:00,2026-09-08 03:00 (Local Time),TROODOS,,,,,1,9,15.7,,18.6,15.2,4.3,1.1,,,310.0,,,,46.0,0.0,828.6,,2.212109,,
2026-09-08T04:30:00+00:00,2026-09-08T04:34:16.468143+00:00,2026-09-08T04:34:16.468143+00:00,2026-09-08 07:20 (Local Time),TROODOS,,,,,1,9,17.2,,18.6,13.7,1.3,0.7,,,305.0,,,,43.0,0.0,828.1,,0.668777,,
2026-09-08T09:00:00+00:00,2026-09-08T09:02:13.651985+00:00,2026-09-08T09:02:13.651985+00:00,2026-09-08 11:50 (Local Time),TROODOS,,,,,1,9,23.7,,24.1,13.7,1.0,0.9,,,119.0,,,,35.0,0.0,828.9,,0.514444,,
2026-09-08T13:30:00+00:00,2026-09-08T13:30:11.960946+00:00,2026-09-08T13:30:11.960946+00:00,2026-09-08 16:20 (Local Time),TROODOS,,,,,1,9,21.4,,24.7,13.7,3.0,1.4,,,351.0,,,,43.0,0.0,827.7,,1.543332,,
2026-09-08T17:20:00+00:00,2026-09-08T17:24:47.132510+00:00,2026-09-08T17:24:47.132510+00:00,2026-09-08 20:10 (Local Time),TROODOS,,,,,1,9,14.6,,24.7,13.7,4.1,1.1,,,313.0,,,,45.0,0.0,827.2,,2.10922,,
2026-09-08T19:50:00+00:00,2026-09-08T19:59:34.582489+00:00,2026-09-08T19:59:34.582489+00:00,2026-09-08 22:50 (Local Time),TROODOS,,,,,1,9,15.0,,15.3,14.3,2.1,0.7,,,23.0,,,,34.0,0.0,827.4,,1.080332,,
2026-09-08T22:30:00+00:00,2026-09-08T22:33:27.663284+00:00,2026-09-08T22:33:27.663284+00:00,2026-09-09 01:20 (Local Time),TROODOS,,,,,1,9,15.0,,15.8,14.3,1.0,0.6,,,165.0,,,,31.0,0.0,826.7,,0.514444,,
2026-09-09T00:30:00+00:00,2026-09-09T00:30:13.860930+00:00,2026-09-09T00:30:13.860930+00:00,2026-09-09 03:20 (Local Time),TROODOS,,,,,1,9,14.0,,15.8,13.9,1.4,0.0,,,221.0,,,,38.0,0.0,826.2,,0.720222,,
2026-09-09T05:00:00+00:00,2026-09-09T05:06:09.101463+00:00,2026-09-09T05:06:09.101463+00:00,2026-09-09 08:00 (Local Time),TROODOS,,,,,1,9,16.2,,16.4,13.0,4.5,1.6,,,222.0,,,,39.0,0.0,826.2,,2.314998,,
2026-09-09T09:30:00+00:00,2026-09-09T09:38:10.241975+00:00,2026-09-09T09:38:10.241975+00:00,2026-09-09 12:30 (Local Time),TROODOS,,,,,1,9,21.8,,22.8,13.0,5.7,2.1,,,208.0,,,,32.0,0.0,826.9,,2.932331,,
2026-09-09T13:50:00+00:00,2026-09-09T13:55:47.448429+00:00,2026-09-09T13:55:47.448429+00:00,2026-09-09 16:50 (Local Time),TROODOS,,,,,1,9,22.0,,23.5,13.0,2.6,1.0,,,17.0,,,,51.0,0.0,826.3,,1.337554,,
