collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),XYLIATOS,,,,,1,8,23.7,,24.2,23.0,2.2,,,6.0,199.0,,,,41.0,0.0,,,1.131777,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),XYLIATOS,,,,,1,8,25.2,,25.2,22.7,2.8,,,80.0,320.0,,,,40.0,0.0,,,1.440443,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),XYLIATOS,,,,,1,8,32.1,,32.4,22.7,3.1,,,941.0,306.0,,,,34.0,0.0,,,1.594776,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),XYLIATOS,,,,,1,8,28.7,,32.8,22.7,4.9,,,319.0,340.0,,,,46.0,0.0,,,2.520776,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),XYLIATOS,,,,,1,8,24.0,,32.8,22.7,4.1,,,8.0,203.0,,,,55.0,0.0,,,2.10922,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),XYLIATOS,,,,,1,8,24.6,,24.7,23.5,2.5,,,6.0,204.0,,,,43.0,0.0,,,1.28611,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),XYLIATOS,,,,,1,8,24.6,,24.7,23.5,1.5,,,5.0,216.0,,,,42.0,0.0,,,0.771666,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),XYLIATOS,,,,,1,8,24.3,,25.1,23.5,1.3,,,5.0,243.0,,,,42.0,0.0,,,0.668777,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),XYLIATOS,,,,,1,8,28.7,,29.0,23.5,1.2,,,387.0,357.0,,,,36.0,0.0,,,0.617333,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),XYLIATOS,,,,,1,8,33.1,,33.8,23.5,2.7,,,941.0,321.0,,,,33.0,0.0,,,1.388999,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),XYLIATOS,,,,,1,8,30.2,,33.8,23.5,4.1,,,362.0,327.0,,,,52.0,0.0,,,2.10922,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),XYLIATOS,,,,,1,8,22.3,,33.8,22.2,1.6,,,6.0,176.0,,,,89.0,0.0,,,0.82311,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),XYLIATOS,,,,,1,8,24.0,,24.0,22.4,4.2,,,8.0,180.0,,,,63.0,0.0,,,2.160665,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),XYLIATOS,,,,,1,8,23.9,,24.6,22.4,3.1,,,7.0,190.0,,,,53.0,0.0,,,1.594776,,
2026-09-03T00:40:00+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03 03:30 (Local Time),XYLIATOS,,,,,1,8,25.1,,25.4,22.4,3.7,,,8.0,175.0,,,,48.0,0.0,,,1.903443,,
2026-09-03T05:00:00+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03 08:00 (Local Time),XYLIATOS,,,,,1,8,25.5,,25.6,22.4,0.0,,,96.0,350.0,,,,44.0,0.0,,,0.0,,
2026-09-03T09:30:00+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03 12:30 (Local Time),XYLIATOS,,,,,1,8,32.6,,33.3,22.4,6.9,,,917.0,343.0,,,,30.0,0.0,,,3.549664,,
2026-09-03T13:50:00+00:00,2026-09-03T13:53:05.760897+00:00,2026-09-03T13:53:05.760897+00:00,2026-09-03 16:40 (Local Time),XYLIATOS,,,,,1,8,28.5,,33.3,22.4,3.0,,,330.0,349.0,,,,49.0,0.0,,,1.543332,,
2026-09-03T17:10:00+00:00,2026-09-03T17:19:20.989738+00:00,2026-09-03T17:19:20.989738+00:00,2026-09-03 20:10 (Local Time),XYLIATOS,,,,,1,8,22.3,,33.3,21.9,0.0,,,4.0,306.0,,,,87.0,0.0,,,0.0,,
2026-09-03T19:50:00+00:00,2026-09-03T19:57:59.047371+00:00,2026-09-03T19:57:59.047371+00:00,2026-09-03 22:50 (Local Time),XYLIATOS,,,,,1,8,24.7,,25.1,24.2,3.6,,,8.0,193.0,,,,38.0,0.0,,,1.851998,,
2026-09-03T22:20:00+00:00,2026-09-03T22:29:57.465558+00:00,2026-09-03T22:29:57.465558+00:00,2026-09-04 01:20 (Local Time),XYLIATOS,,,,,1,8,24.6,,25.1,24.0,4.1,,,9.0,180.0,,,,37.0,0.0,,,2.10922,,
2026-09-04T00:10:00+00:00,2026-09-04T00:18:56.580579+00:00,2026-09-04T00:18:56.580579+00:00,2026-09-04 03:10 (Local Time),XYLIATOS,,,,,1,8,24.3,,25.1,24.0,2.7,,,7.0,182.0,,,,37.0,0.0,,,1.388999,,
2026-09-04T04:40:00+00:00,2026-09-04T04:45:45.717527+00:00,2026-09-04T04:45:45.717527+00:00,2026-09-04 07:40 (Local Time),XYLIATOS,,,,,1,8,25.8,,26.0,23.7,1.2,,,48.0,335.0,,,,34.0,0.0,,,0.617333,,
2026-09-04T09:00:00+00:00,2026-09-04T09:05:06.541164+00:00,2026-09-04T09:05:06.541164+00:00,2026-09-04 12:00 (Local Time),XYLIATOS,,,,,1,8,31.5,,31.7,23.7,3.2,,,922.0,335.0,,,,36.0,0.0,,,1.646221,,
2026-09-04T13:20:00+00:00,2026-09-04T13:26:14.774263+00:00,2026-09-04T13:26:14.774263+00:00,2026-09-04 16:20 (Local Time),XYLIATOS,,,,,1,8,29.1,,32.2,23.7,6.3,,,545.0,341.0,,,,54.0,0.0,,,3.240997,,
2026-09-04T16:50:00+00:00,2026-09-04T16:55:20.414199+00:00,2026-09-04T16:55:20.414199+00:00,2026-09-04 19:50 (Local Time),XYLIATOS,,,,,1,8,22.2,,32.2,22.1,0.0,,,4.0,328.0,,,,88.0,0.0,,,0.0,,
2026-09-04T21:20:00+00:00,2026-09-04T21:28:37.350031+00:00,2026-09-04T21:28:37.350031+00:00,2026-09-05 00:20 (Local Time),XYLIATOS,,,,,1,8,22.0,,23.2,20.6,1.0,,,5.0,188.0,,,,64.0,0.0,,,0.514444,,
2026-09-04T23:10:00+00:00,2026-09-04T23:13:59.362901+00:00,2026-09-04T23:13:59.362901+00:00,2026-09-05 02:00 (Local Time),XYLIATOS,,,,,1,8,22.8,,23.2,20.6,0.0,,,3.0,173.0,,,,57.0,0.0,,,0.0,,
2026-09-05T00:50:00+00:00,2026-09-05T00:58:36.798402+00:00,2026-09-05T00:58:36.798402+00:00,2026-09-05 03:50 (Local Time),XYLIATOS,,,,,1,8,21.4,,23.2,20.6,0.0,,,4.0,221.0,,,,52.0,0.0,,,0.0,,
2026-09-05T05:30:00+00:00,2026-09-05T05:34:27.041536+00:00,2026-09-05T05:34:27.041536+00:00,2026-09-05 08:20 (Local Time),XYLIATOS,,,,,1,8,24.5,,24.7,20.0,0.0,,,171.0,15.0,,,,50.0,0.0,,,0.0,,
2026-09-05T09:10:00+00:00,2026-09-05T09:17:45.504072+00:00,2026-09-05T09:17:45.504072+00:00,2026-09-05 12:10 (Local Time),XYLIATOS,,,,,1,8,30.8,,31.3,20.0,3.2,,,903.0,3.0,,,,45.0,0.0,,,1.646221,,
2026-09-05T12:40:00+00:00,2026-09-05T12:46:38.234247+00:00,2026-09-05T12:46:38.234247+00:00,2026-09-05 15:40 (Local Time),XYLIATOS,,,,,1,8,29.5,,33.0,20.0,5.3,,,673.0,346.0,,,,47.0,0.0,,,2.726553,,
2026-09-05T15:30:00+00:00,2026-09-05T15:36:48.906932+00:00,2026-09-05T15:36:48.906932+00:00,2026-09-05 18:30 (Local Time),XYLIATOS,,,,,1,8,23.6,,33.0,20.0,4.2,,,37.0,339.0,,,,85.0,0.0,,,2.160665,,
2026-09-05T17:30:00+00:00,2026-09-05T17:34:18.514718+00:00,2026-09-05T17:34:18.514718+00:00,2026-09-05 20:20 (Local Time),XYLIATOS,,,,,1,8,22.6,,33.0,20.0,0.0,,,4.0,333.0,,,,90.0,0.0,,,0.0,,
2026-09-05T19:20:00+00:00,2026-09-05T19:24:14.745082+00:00,2026-09-05T19:24:14.745082+00:00,2026-09-05 22:10 (Local Time),XYLIATOS,,,,,1,8,22.3,,22.5,21.3,2.0,,,5.0,202.0,,,,76.0,0.0,,,1.028888,,
2026-09-05T21:20:00+00:00,2026-09-05T21:24:29.534473+00:00,2026-09-05T21:24:29.534473+00:00,2026-09-06 00:10 (Local Time),XYLIATOS,,,,,1,8,24.7,,24.9,21.3,3.9,,,8.0,204.0,,,,39.0,0.0,,,2.006332,,
2026-09-05T23:00:00+00:00,2026-09-05T23:03:04.494056+00:00,2026-09-05T23:03:04.494056+00:00,2026-09-06 01:50 (Local Time),XYLIATOS,,,,,1,8,24.5,,24.9,20.9,2.8,,,7.0,204.0,,,,39.0,0.0,,,1.440443,,
