collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),XYLOPHAGOU,,,,,1,9,25.0,24.6,27.5,23.4,3.7,1.3,,,264.0,,,,80.0,0.0,,,1.903443,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),XYLOPHAGOU,,,,,1,9,26.7,33.4,27.5,23.2,1.4,0.0,,,316.0,,,,75.0,0.0,,,0.720222,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),XYLOPHAGOU,,,,,1,9,32.1,41.4,33.7,23.2,8.3,2.8,,,185.0,,,,56.0,0.0,,,4.269885,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),XYLOPHAGOU,,,,,1,9,30.1,35.6,33.7,23.2,8.1,2.8,,,208.0,,,,69.0,0.0,,,4.166996,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),XYLOPHAGOU,,,,,1,9,27.5,28.0,33.7,23.2,4.7,1.7,,,214.0,,,,74.0,0.0,,,2.417887,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),XYLOPHAGOU,,,,,1,9,26.4,25.9,27.5,25.7,1.1,0.0,,,326.0,,,,77.0,0.0,,,0.565888,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),XYLOPHAGOU,,,,,1,9,25.1,24.4,27.5,25.0,2.6,0.0,,,328.0,,,,78.0,0.0,,,1.337554,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),XYLOPHAGOU,,,,,1,9,24.0,24.1,27.5,23.6,3.6,0.3,,,323.0,,,,75.0,0.0,,,1.851998,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),XYLOPHAGOU,,,,,1,9,28.4,31.0,28.6,22.3,2.0,0.9,,,33.0,,,,70.0,0.0,,,1.028888,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),XYLOPHAGOU,,,,,1,9,33.1,43.0,33.4,22.3,6.5,1.9,,,181.0,,,,58.0,0.0,,,3.343886,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),XYLOPHAGOU,,,,,1,9,31.1,38.0,34.8,22.3,8.6,3.3,,,209.0,,,,65.0,0.0,,,4.424218,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),XYLOPHAGOU,,,,,1,9,27.8,28.4,34.8,22.3,6.0,2.2,,,226.0,,,,78.0,0.0,,,3.086664,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),XYLOPHAGOU,,,,,1,9,26.7,26.9,27.8,26.7,3.6,0.6,,,331.0,,,,72.0,0.0,,,1.851998,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),XYLOPHAGOU,,,,,1,9,25.1,24.5,27.8,24.9,2.4,0.0,,,238.0,,,,81.0,0.0,,,1.234666,,
2026-09-03T00:40:00+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03 03:30 (Local Time),XYLOPHAGOU,,,,,1,9,24.7,24.7,27.8,24.3,2.5,0.1,,,325.0,,,,78.0,0.0,,,1.28611,,
2026-09-03T05:00:00+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03 08:00 (Local Time),XYLOPHAGOU,,,,,1,9,26.7,32.5,27.8,23.4,1.4,0.0,,,5.0,,,,78.0,0.0,,,0.720222,,
2026-09-03T09:30:00+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03 12:30 (Local Time),XYLOPHAGOU,,,,,1,9,31.9,42.0,32.3,23.4,6.7,2.2,,,182.0,,,,62.0,0.0,,,3.446775,,
2026-09-03T13:50:00+00:00,2026-09-03T13:53:05.760897+00:00,2026-09-03T13:53:05.760897+00:00,2026-09-03 16:40 (Local Time),XYLOPHAGOU,,,,,1,9,31.0,37.7,32.7,23.4,9.9,2.8,,,195.0,,,,66.0,0.0,,,5.092996,,
2026-09-03T17:10:00+00:00,2026-09-03T17:19:20.989738+00:00,2026-09-03T17:19:20.989738+00:00,2026-09-03 20:10 (Local Time),XYLOPHAGOU,,,,,1,9,27.4,28.1,32.7,23.4,8.6,3.3,,,222.0,,,,88.0,0.0,,,4.424218,,
2026-09-03T19:50:00+00:00,2026-09-03T19:57:59.047371+00:00,2026-09-03T19:57:59.047371+00:00,2026-09-03 22:50 (Local Time),XYLOPHAGOU,,,,,1,9,26.7,26.7,27.4,26.4,3.6,0.9,,,250.0,,,,82.0,0.0,,,1.851998,,
2026-09-03T22:20:00+00:00,2026-09-03T22:29:57.465558+00:00,2026-09-03T22:29:57.465558+00:00,2026-09-04 01:20 (Local Time),XYLOPHAGOU,,,,,1,9,26.2,26.6,27.4,25.8,5.3,1.9,,,215.0,,,,93.0,0.0,,,2.726553,,
2026-09-04T00:10:00+00:00,2026-09-04T00:18:56.580579+00:00,2026-09-04T00:18:56.580579+00:00,2026-09-04 03:10 (Local Time),XYLOPHAGOU,,,,,1,9,25.9,26.3,27.4,25.8,5.2,1.9,,,207.0,,,,94.0,0.0,,,2.675109,,
2026-09-04T04:40:00+00:00,2026-09-04T04:45:45.717527+00:00,2026-09-04T04:45:45.717527+00:00,2026-09-04 07:40 (Local Time),XYLOPHAGOU,,,,,1,9,23.7,26.2,27.4,23.7,3.2,1.1,,,323.0,,,,96.0,0.0,,,1.646221,,
